qYOLOv10n summary (fused): 129 layers, 2,265,558 parameters, 12,870 gradients, 6.5 GFLOPs
=== Full Model Scale Dump ===
Layer23.one2one_cv3.1.0.0.conv: shape=[1, 128, 40, 40], scale=0.5539485216140747, zp=44
Layer23.one2one_cv3.1.0.0.act: shape=[1, 128, 40, 40], scale=0.5539485216140747, zp=44
Layer23.one2one_cv3.1.0.1: shape=[1, 64, 40, 40], scale=0.19021153450012207, zp=80
Layer23.one2one_cv3.1.0.1.conv: shape=[1, 64, 40, 40], scale=0.19021153450012207, zp=80
Layer23.one2one_cv3.1.0.1.act: shape=[1, 64, 40, 40], scale=0.19021153450012207, zp=80
Layer23.one2one_cv3.1.1: shape=[1, 64, 40, 40], scale=0.411690354347229, zp=37
Layer23.one2one_cv3.1.1.0: shape=[1, 64, 40, 40], scale=0.3095514476299286, zp=55
Layer23.one2one_cv3.1.1.0.conv: shape=[1, 64, 40, 40], scale=0.3095514476299286, zp=55
Layer23.one2one_cv3.1.1.0.act: shape=[1, 64, 40, 40], scale=0.3095514476299286, zp=55
Layer23.one2one_cv3.1.1.1: shape=[1, 64, 40, 40], scale=0.411690354347229, zp=37
Layer23.one2one_cv3.1.1.1.conv: shape=[1, 64, 40, 40], scale=0.411690354347229, zp=37
Layer23.one2one_cv3.1.1.1.act: shape=[1, 64, 40, 40], scale=0.411690354347229, zp=37
Layer23.one2one_cv3.1.2: shape=[1, 2, 40, 40], scale=1.1465727090835571, zp=124
Layer23.one2one_cv3.2: shape=[1, 2, 20, 20], scale=0.12583307921886444, zp=127
Layer23.one2one_cv3.2.0: shape=[1, 64, 20, 20], scale=0.03187720105051994, zp=52
Layer23.one2one_cv3.2.0.0: shape=[1, 256, 20, 20], scale=0.030134789645671844, zp=50
Layer23.one2one_cv3.2.0.0.conv: shape=[1, 256, 20, 20], scale=0.030134789645671844, zp=50
Layer23.one2one_cv3.2.0.0.act: shape=[1, 256, 20, 20], scale=0.030134789645671844, zp=50
Layer23.one2one_cv3.2.0.1: shape=[1, 64, 20, 20], scale=0.03187720105051994, zp=52
Layer23.one2one_cv3.2.0.1.conv: shape=[1, 64, 20, 20], scale=0.03187720105051994, zp=52
Layer23.one2one_cv3.2.0.1.act: shape=[1, 64, 20, 20], scale=0.03187720105051994, zp=52
Layer23.one2one_cv3.2.1: shape=[1, 64, 20, 20], scale=0.029762912541627884, zp=56
Layer23.one2one_cv3.2.1.0: shape=[1, 64, 20, 20], scale=0.037191007286310196, zp=47
Layer23.one2one_cv3.2.1.0.conv: shape=[1, 64, 20, 20], scale=0.037191007286310196, zp=47
Layer23.one2one_cv3.2.1.0.act: shape=[1, 64, 20, 20], scale=0.037191007286310196, zp=47
