# rtl_cycle_trace time_ps	tag	message
210000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
210000	S3_WTB_WR	addr=5 d0=-37 d1=-37
210000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=3
214000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
214000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
214000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
214000	S3_WTB_WR	addr=6 d0=46 d1=46
214000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=3
218000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
218000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
218000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
218000	S3_WTB_WR	addr=7 d0=-94 d1=-94
218000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=3
222000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
222000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
222000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
222000	S3_WTB_WR	addr=8 d0=77 d1=77
222000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=3
226000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
226000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
226000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
226000	S3_WTB_WR	addr=9 d0=125 d1=125
226000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=3
230000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
230000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
230000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
230000	S3_WTB_WR	addr=10 d0=5 d1=5
230000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=3
234000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
234000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
